category,model,seed,target_coverage,bucket,n_cal,n_eval,m,k_star,achievable,empirical_coverage,bucket_recall20_eval
Sports_and_Outdoors,sasrec,42,0.08,hist<=5,9238,9063,740,21,False,,0.07458898819375483
Sports_and_Outdoors,sasrec,42,0.08,hist6-15,7480,7637,599,21,False,,0.07149404216315307
Sports_and_Outdoors,sasrec,42,0.08,hist>=16,1081,1099,87,20,True,0.07279344858962693,0.07279344858962693
Sports_and_Outdoors,sasrec,42,0.06,hist<=5,9238,9063,555,13,True,0.05903122586340064,0.07458898819375483
Sports_and_Outdoors,sasrec,42,0.06,hist6-15,7480,7637,449,13,True,0.05525729998690585,0.07149404216315307
Sports_and_Outdoors,sasrec,42,0.06,hist>=16,1081,1099,65,10,True,0.04640582347588717,0.07279344858962693
Sports_and_Outdoors,sasrec,43,0.08,hist<=5,9238,9063,740,21,False,,0.07679576299238662
Sports_and_Outdoors,sasrec,43,0.08,hist6-15,7485,7632,599,21,False,,0.0735062893081761
Sports_and_Outdoors,sasrec,43,0.08,hist>=16,1076,1104,87,21,False,,0.06793478260869565
Sports_and_Outdoors,sasrec,43,0.06,hist<=5,9238,9063,555,13,True,0.06046562948251131,0.07679576299238662
Sports_and_Outdoors,sasrec,43,0.06,hist6-15,7485,7632,450,14,True,0.06092767295597484,0.0735062893081761
Sports_and_Outdoors,sasrec,43,0.06,hist>=16,1076,1104,65,14,True,0.05344202898550725,0.06793478260869565
Sports_and_Outdoors,sasrec,44,0.08,hist<=5,9238,9063,740,21,False,,0.07503034315348119
Sports_and_Outdoors,sasrec,44,0.08,hist6-15,7480,7637,599,21,False,,0.07018462747152023
Sports_and_Outdoors,sasrec,44,0.08,hist>=16,1081,1099,87,21,False,,0.06733393994540492
Sports_and_Outdoors,sasrec,44,0.06,hist<=5,9238,9063,555,13,True,0.05748648350435838,0.07503034315348119
Sports_and_Outdoors,sasrec,44,0.06,hist6-15,7480,7637,449,15,True,0.05957836846929423,0.07018462747152023
Sports_and_Outdoors,sasrec,44,0.06,hist>=16,1081,1099,65,13,True,0.051865332120109194,0.06733393994540492
Sports_and_Outdoors,marius,42,0.08,hist<=5,9238,9063,740,21,False,,0.07503034315348119
Sports_and_Outdoors,marius,42,0.08,hist6-15,7480,7637,599,21,False,,0.06717297368076469
Sports_and_Outdoors,marius,42,0.08,hist>=16,1081,1099,87,21,False,,0.06187443130118289
Sports_and_Outdoors,marius,42,0.06,hist<=5,9238,9063,555,13,True,0.05649343484497407,0.07503034315348119
Sports_and_Outdoors,marius,42,0.06,hist6-15,7480,7637,449,17,True,0.06036401728427393,0.06717297368076469
Sports_and_Outdoors,marius,42,0.06,hist>=16,1081,1099,65,16,True,0.0545950864422202,0.06187443130118289
Sports_and_Outdoors,marius,43,0.08,hist<=5,9238,9063,740,21,False,,0.07602339181286549
Sports_and_Outdoors,marius,43,0.08,hist6-15,7480,7637,599,21,False,,0.07005368600235695
Sports_and_Outdoors,marius,43,0.08,hist>=16,1081,1099,87,21,False,,0.05004549590536852
Sports_and_Outdoors,marius,43,0.06,hist<=5,9238,9063,555,13,True,0.05759682224428997,0.07602339181286549
Sports_and_Outdoors,marius,43,0.06,hist6-15,7480,7637,449,15,True,0.05617389027104884,0.07005368600235695
Sports_and_Outdoors,marius,43,0.06,hist>=16,1081,1099,65,14,True,0.04185623293903549,0.05004549590536852
Sports_and_Outdoors,marius,44,0.08,hist<=5,9238,9063,740,20,True,0.07436831071389165,0.07436831071389165
Sports_and_Outdoors,marius,44,0.08,hist6-15,7480,7637,599,21,False,,0.06913709571821396
Sports_and_Outdoors,marius,44,0.08,hist>=16,1081,1099,87,21,False,,0.05732484076433121
Sports_and_Outdoors,marius,44,0.06,hist<=5,9238,9063,555,12,True,0.0550590312258634,0.07436831071389165
Sports_and_Outdoors,marius,44,0.06,hist6-15,7480,7637,449,15,True,0.05538824145606914,0.06913709571821396
Sports_and_Outdoors,marius,44,0.06,hist>=16,1081,1099,65,14,True,0.048225659690627844,0.05732484076433121
