category,model,seed,depth,target_coverage,n_cal,n_eval,m,k_star,achievable,empirical_coverage,effective_set_size,ceiling_recall_eval,ceiling_recall_all
Sports_and_Outdoors,sasrec,42,100,0.04,17799,17799,712,6,True,0.03674363728299343,6.0,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.06,17799,17799,1068,13,True,0.056800943873251304,13.0,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.08,17799,17799,1424,22,True,0.07680206753188382,22.0,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.1,17799,17799,1780,34,True,0.09697173998539244,34.0,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.12,17799,17799,2136,49,True,0.1164672172593966,49.0,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.15,17799,17799,2670,80,True,0.14764874431147818,80.0,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.2,17799,17799,3560,101,False,,,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.25,17799,17799,4450,101,False,,,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,42,100,0.3,17799,17799,5340,101,False,,,0.16444744086746446,0.16548682510253385
Sports_and_Outdoors,sasrec,43,100,0.04,17799,17799,712,6,True,0.036912186077869544,6.0,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.06,17799,17799,1068,13,True,0.05938535872801843,13.0,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.08,17799,17799,1424,22,True,0.07831900668576887,22.0,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.1,17799,17799,1780,33,True,0.09635372773751334,33.0,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.12,17799,17799,2136,49,True,0.11691668071239958,49.0,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.15,17799,17799,2670,80,True,0.1504017079611214,80.0,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.2,17799,17799,3560,101,False,,,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.25,17799,17799,4450,101,False,,,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,43,100,0.3,17799,17799,5340,101,False,,,0.16686330692735546,0.16725658744873306
Sports_and_Outdoors,sasrec,44,100,0.04,17799,17799,712,7,True,0.03887858868475757,7.0,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,sasrec,44,100,0.06,17799,17799,1068,14,True,0.0580369683690095,14.0,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,sasrec,44,100,0.08,17799,17799,1424,23,True,0.0776448115062644,23.0,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,sasrec,44,100,0.1,17799,17799,1780,35,True,0.0952300691050059,35.0,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,sasrec,44,100,0.12,17799,17799,2136,50,True,0.11388280240462947,50.0,0.16180684308107196,0.1633518737007697
Sports_and_Outdoors,sasrec,44,100,0.15,17799,17799,2670,82,True,0.1468060003370976,82.0,0.16180684308107196,0.1633518737007697
