category,model,seed,depth,target_coverage,bucket,n_cal,n_eval,m,k_star,achievable,empirical_coverage,bucket_recall_eval
Sports_and_Outdoors,sasrec,42,100,0.08,hist<=5,9246,9055,740,21,True,0.07642186637217008,0.1662065157371618
Sports_and_Outdoors,sasrec,42,100,0.08,hist6-15,7473,7644,598,23,True,0.07653061224489796,0.16326530612244897
Sports_and_Outdoors,sasrec,42,100,0.08,hist>=16,1080,1100,87,20,True,0.07363636363636364,0.15818181818181817
Sports_and_Outdoors,sasrec,42,100,0.12,hist<=5,9246,9055,1110,49,True,0.1202650469353948,0.1662065157371618
Sports_and_Outdoors,sasrec,42,100,0.12,hist6-15,7473,7644,897,48,True,0.11145996860282574,0.16326530612244897
Sports_and_Outdoors,sasrec,42,100,0.12,hist>=16,1080,1100,130,60,True,0.1290909090909091,0.15818181818181817
Sports_and_Outdoors,sasrec,43,100,0.08,hist<=5,9238,9063,740,22,True,0.08010592519033433,0.1704733531943065
Sports_and_Outdoors,sasrec,43,100,0.08,hist6-15,7480,7637,599,23,True,0.08039806206625638,0.1647243682074113
Sports_and_Outdoors,sasrec,43,100,0.08,hist>=16,1081,1099,87,23,True,0.07006369426751592,0.15195632393084624
Sports_and_Outdoors,sasrec,43,100,0.12,hist<=5,9238,9063,1109,49,True,0.11971753282577513,0.1704733531943065
Sports_and_Outdoors,sasrec,43,100,0.12,hist6-15,7480,7637,898,50,True,0.11614508314783292,0.1647243682074113
Sports_and_Outdoors,sasrec,43,100,0.12,hist>=16,1081,1099,130,48,True,0.10464058234758872,0.15195632393084624
Sports_and_Outdoors,sasrec,44,100,0.08,hist<=5,9239,9062,740,22,True,0.07845950121386007,0.1644228647097771
Sports_and_Outdoors,sasrec,44,100,0.08,hist6-15,7482,7635,599,25,True,0.07976424361493124,0.160445317616241
Sports_and_Outdoors,sasrec,44,100,0.08,hist>=16,1078,1102,87,23,True,0.07259528130671507,0.14972776769509982
Sports_and_Outdoors,sasrec,44,100,0.12,hist<=5,9239,9062,1109,47,True,0.11277863606267932,0.1644228647097771
Sports_and_Outdoors,sasrec,44,100,0.12,hist6-15,7482,7635,898,54,True,0.11709233791748526,0.160445317616241
Sports_and_Outdoors,sasrec,44,100,0.12,hist>=16,1078,1102,130,60,True,0.11252268602540835,0.14972776769509982
Sports_and_Outdoors,marius,42,100,0.08,hist<=5,9238,9063,740,21,True,0.07679576299238662,0.18029350104821804
Sports_and_Outdoors,marius,42,100,0.08,hist6-15,7480,7637,599,25,True,0.07830299855964384,0.17048579285059579
Sports_and_Outdoors,marius,42,100,0.08,hist>=16,1081,1099,87,28,True,0.07370336669699727,0.1492265696087352
Sports_and_Outdoors,marius,42,100,0.12,hist<=5,9238,9063,1109,43,True,0.1166280481076906,0.18029350104821804
Sports_and_Outdoors,marius,42,100,0.12,hist6-15,7480,7637,898,47,True,0.11234778054209768,0.17048579285059579
Sports_and_Outdoors,marius,42,100,0.12,hist>=16,1081,1099,130,57,True,0.1164695177434031,0.1492265696087352
Sports_and_Outdoors,marius,43,100,0.08,hist<=5,9238,9063,740,21,True,0.07778881165177094,0.18238993710691823
Sports_and_Outdoors,marius,43,100,0.08,hist6-15,7480,7637,599,22,True,0.07385098860809218,0.1721880319497185
Sports_and_Outdoors,marius,43,100,0.08,hist>=16,1081,1099,87,26,True,0.05823475887170155,0.1510464058234759
Sports_and_Outdoors,marius,43,100,0.12,hist<=5,9238,9063,1109,41,True,0.11464195078892199,0.18238993710691823
Sports_and_Outdoors,marius,43,100,0.12,hist6-15,7480,7637,898,45,True,0.11352625376456724,0.1721880319497185
Sports_and_Outdoors,marius,43,100,0.12,hist>=16,1081,1099,130,58,True,0.10191082802547771,0.1510464058234759
Sports_and_Outdoors,marius,44,100,0.08,hist<=5,9238,9063,740,20,True,0.07447864945382324,0.1804038397881496
Sports_and_Outdoors,marius,44,100,0.08,hist6-15,7480,7637,599,23,True,0.07476757889223518,0.16616472436820742
Sports_and_Outdoors,marius,44,100,0.08,hist>=16,1081,1099,87,27,True,0.07097361237488627,0.1510464058234759
Sports_and_Outdoors,marius,44,100,0.12,hist<=5,9238,9063,1109,42,True,0.11464195078892199,0.1804038397881496
Sports_and_Outdoors,marius,44,100,0.12,hist6-15,7480,7637,898,45,True,0.11116930731962812,0.16616472436820742
Sports_and_Outdoors,marius,44,100,0.12,hist>=16,1081,1099,130,60,True,0.11464968152866242,0.1510464058234759
