category,model,seed,depth,target_coverage,n_cal,n_eval,m,k_star,achievable,empirical_coverage,effective_set_size,ceiling_recall_eval,ceiling_recall_all
Beauty,sasrec,42,100,0.04,11181,11182,448,3,True,0.047576462171346805,3.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.06,11181,11182,671,5,True,0.0633160436415668,5.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.08,11181,11182,895,8,True,0.07994991951350384,8.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.1,11181,11182,1119,12,True,0.0988195313897335,12.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.12,11181,11182,1342,18,True,0.11885172598819531,18.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.15,11181,11182,1678,30,True,0.14773743516365587,30.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.2,11181,11182,2237,57,True,0.19370416741191201,57.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.25,11181,11182,2796,97,True,0.24047576462171347,97.0,0.2430692183866929,0.2481330769574744
Beauty,sasrec,42,100,0.3,11181,11182,3355,101,False,,,0.2430692183866929,0.2481330769574744
Beauty,sasrec,43,100,0.04,11181,11182,448,3,True,0.04587730280808442,3.0,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.06,11181,11182,671,5,True,0.059917724915042034,5.0,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.08,11181,11182,895,8,True,0.07968163119298872,8.0,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.1,11181,11182,1119,13,True,0.10042926131282418,13.0,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.12,11181,11182,1342,18,True,0.11903058486853872,18.0,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.15,11181,11182,1678,30,True,0.15006260060812018,30.0,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.2,11181,11182,2237,58,True,0.19692362725809337,58.0,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.25,11181,11182,2796,101,False,,,0.2435163655875514,0.2467468586504494
Beauty,sasrec,43,100,0.3,11181,11182,3355,101,False,,,0.2435163655875514,0.2467468586504494
Beauty,sasrec,44,100,0.04,11181,11182,448,3,True,0.045787873367912714,3.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.06,11181,11182,671,6,True,0.07064925773564658,6.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.08,11181,11182,895,9,True,0.08638883920586657,9.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.1,11181,11182,1119,13,True,0.10194956179574316,13.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.12,11181,11182,1342,18,True,0.11840457878733679,18.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.15,11181,11182,1678,29,True,0.14845287068502952,29.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.2,11181,11182,2237,58,True,0.19844392774101235,58.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.25,11181,11182,2796,100,True,0.24834555535682346,100.0,0.24834555535682346,0.24920627822742925
Beauty,sasrec,44,100,0.3,11181,11182,3355,101,False,,,0.24834555535682346,0.24920627822742925
Beauty,marius,42,100,0.04,11181,11182,448,3,True,0.036308352709712034,2.99579681631193,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.06,11181,11182,671,6,True,0.05795027723126453,5.988284743337506,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.08,11181,11182,895,9,True,0.0769987479878376,8.979699517081023,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.1,11181,11182,1119,13,True,0.09729923090681453,12.963691647290288,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.12,11181,11182,1342,18,True,0.11742085494544804,17.94017170452513,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.15,11181,11182,1678,28,True,0.14487569307816134,27.88669289930245,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.2,11181,11182,2237,54,True,0.19906993382221427,53.643534251475586,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.25,11181,11182,2796,90,True,0.24834555535682346,88.90556251117869,0.26032910033983186,0.26154809283190983
Beauty,marius,42,100,0.3,11181,11182,3355,101,False,,,0.26032910033983186,0.26154809283190983
Beauty,marius,43,100,0.04,11181,11182,448,4,True,0.04426757288499374,3.993561080307637,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.06,11181,11182,671,6,True,0.05678769450903237,5.987837596136648,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.08,11181,11182,895,10,True,0.07807190126989805,9.97531747451261,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.1,11181,11182,1119,14,True,0.0970309425862994,13.95913074584153,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.12,11181,11182,1342,19,True,0.1144696834197818,18.935700232516545,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.15,11181,11182,1678,29,True,0.14559112859953496,28.87614022536219,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.2,11181,11182,2237,53,True,0.19504560901448756,52.63691647290288,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.25,11181,11182,2796,90,True,0.24485780719012698,88.81818994813092,0.2565730638526203,0.2591781066940929
Beauty,marius,43,100,0.3,11181,11182,3355,101,False,,,0.2565730638526203,0.2591781066940929
Beauty,marius,44,100,0.04,11181,11182,448,4,True,0.0433732784832767,3.9934716508674657,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.06,11181,11182,671,6,True,0.05687712394920408,5.988016455016991,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.08,11181,11182,895,10,True,0.08021820783401896,9.974602038991236,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.1,11181,11182,1119,14,True,0.09926667859059202,13.957789304238956,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.12,11181,11182,1342,19,True,0.11715256662493292,18.934895367555,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.15,11181,11182,1678,29,True,0.14764800572348416,28.877302808084423,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.2,11181,11182,2237,54,True,0.19889107494187086,53.64067250939009,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.25,11181,11182,2796,90,True,0.2453049543909855,88.8745304954391,0.256662493292792,0.25877565621785986
Beauty,marius,44,100,0.3,11181,11182,3355,101,False,,,0.256662493292792,0.25877565621785986
