category,model,seed,target_coverage,bucket,n_cal,n_eval,m,k_star,achievable,empirical_coverage,bucket_recall20_eval
Beauty,sasrec,42,0.08,hist<=5,5622,5761,450,10,True,0.08019441069258809,0.11213331018920326
Beauty,sasrec,42,0.08,hist6-15,4677,4583,375,8,True,0.07724198123499891,0.12044512328169321
Beauty,sasrec,42,0.08,hist>=16,882,838,71,3,True,0.10023866348448687,0.2159904534606205
Beauty,sasrec,42,0.06,hist<=5,5622,5761,338,6,True,0.060406179482728695,0.11213331018920326
Beauty,sasrec,42,0.06,hist6-15,4677,4583,281,5,True,0.06218634082478726,0.12044512328169321
Beauty,sasrec,42,0.06,hist>=16,882,838,53,2,True,0.08353221957040573,0.2159904534606205
Beauty,sasrec,43,0.08,hist<=5,5622,5761,450,10,True,0.07984724874153792,0.11195972921367818
Beauty,sasrec,43,0.08,hist6-15,4677,4583,375,9,True,0.084878900283657,0.1215361117172158
Beauty,sasrec,43,0.08,hist>=16,882,838,71,3,True,0.08591885441527446,0.22673031026252982
Beauty,sasrec,43,0.06,hist<=5,5622,5761,338,6,True,0.059711855580628366,0.11195972921367818
Beauty,sasrec,43,0.06,hist6-15,4677,4583,281,5,True,0.056295003272965306,0.1215361117172158
Beauty,sasrec,43,0.06,hist>=16,882,838,53,2,True,0.06443914081145585,0.22673031026252982
Beauty,sasrec,44,0.08,hist<=5,5622,5761,450,11,True,0.08661690678701614,0.11317479604235375
Beauty,sasrec,44,0.08,hist6-15,4677,4583,375,10,True,0.08618808640628409,0.12044512328169321
Beauty,sasrec,44,0.08,hist>=16,882,838,71,3,True,0.09188544152744631,0.22195704057279236
Beauty,sasrec,44,0.06,hist<=5,5622,5761,338,7,True,0.06769658045478216,0.11317479604235375
Beauty,sasrec,44,0.06,hist6-15,4677,4583,281,6,True,0.06785948068950469,0.12044512328169321
Beauty,sasrec,44,0.06,hist>=16,882,838,53,2,True,0.06443914081145585,0.22195704057279236
Beauty,marius,42,0.08,hist<=5,5622,5761,450,11,True,0.07880576288838743,0.10762020482555112
Beauty,marius,42,0.08,hist6-15,4677,4583,375,10,True,0.08247872572550731,0.12502727471088806
Beauty,marius,42,0.08,hist>=16,882,838,71,3,True,0.07398568019093078,0.21360381861575178
Beauty,marius,42,0.06,hist<=5,5622,5761,338,7,True,0.05745530289880229,0.10762020482555112
Beauty,marius,42,0.06,hist6-15,4677,4583,281,6,True,0.05673139864717434,0.12502727471088806
Beauty,marius,42,0.06,hist>=16,882,838,53,2,True,0.05608591885441527,0.21360381861575178
Beauty,marius,43,0.08,hist<=5,5622,5761,450,12,True,0.0772435341086617,0.10657871897240062
Beauty,marius,43,0.08,hist6-15,4677,4583,375,10,True,0.07920576041893956,0.11542657647828933
Beauty,marius,43,0.08,hist>=16,882,838,71,3,True,0.07637231503579953,0.2052505966587112
Beauty,marius,43,0.06,hist<=5,5622,5761,338,8,True,0.0583232077764277,0.10657871897240062
Beauty,marius,43,0.06,hist6-15,4677,4583,281,7,True,0.06327732926030984,0.11542657647828933
Beauty,marius,43,0.06,hist>=16,882,838,53,3,True,0.07637231503579953,0.2052505966587112
Beauty,marius,44,0.08,hist<=5,5622,5761,450,12,True,0.08002082971706301,0.10866169067870161
Beauty,marius,44,0.08,hist6-15,4677,4583,375,10,True,0.0822605280384028,0.11979053022037967
Beauty,marius,44,0.08,hist>=16,882,838,71,3,True,0.07398568019093078,0.2016706443914081
Beauty,marius,44,0.06,hist<=5,5622,5761,338,8,True,0.06127408436035411,0.10866169067870161
Beauty,marius,44,0.06,hist6-15,4677,4583,281,7,True,0.065459306131355,0.11979053022037967
Beauty,marius,44,0.06,hist>=16,882,838,53,2,True,0.05489260143198091,0.2016706443914081
