category,model,seed,target_coverage,n_cal,n_eval,m,k_star,achievable,empirical_coverage,effective_set_size,ceiling_recall20_eval,ceiling_recall20_all
Beauty,sasrec,42,0.04,11181,11182,448,3,True,0.04811303881237704,3.0,0.12332319799678054,0.12601171578053033
Beauty,sasrec,42,0.06,11181,11182,671,5,True,0.06295832588087999,5.0,0.12332319799678054,0.12601171578053033
Beauty,sasrec,42,0.08,11181,11182,895,8,True,0.0792344839921302,8.0,0.12332319799678054,0.12601171578053033
Beauty,sasrec,42,0.1,11181,11182,1119,13,True,0.10248613843677339,13.0,0.12332319799678054,0.12601171578053033
Beauty,sasrec,42,0.12,11181,11182,1342,18,True,0.11876229654802362,18.0,0.12332319799678054,0.12601171578053033
Beauty,sasrec,43,0.04,11181,11182,448,3,True,0.04560901448756931,3.0,0.1244857807190127,0.12601171578053033
Beauty,sasrec,43,0.06,11181,11182,671,5,True,0.05964943659452692,5.0,0.1244857807190127,0.12601171578053033
Beauty,sasrec,43,0.08,11181,11182,895,9,True,0.08612055088535146,9.0,0.1244857807190127,0.12601171578053033
Beauty,sasrec,43,0.1,11181,11182,1119,13,True,0.10025040243248078,13.0,0.1244857807190127,0.12601171578053033
Beauty,sasrec,43,0.12,11181,11182,1342,18,True,0.11894115542836702,18.0,0.1244857807190127,0.12601171578053033
Beauty,sasrec,44,0.04,11181,11182,448,3,True,0.0454301556072259,3.0,0.12430692183866929,0.12578813218262308
Beauty,sasrec,44,0.06,11181,11182,671,6,True,0.07073868717581829,6.0,0.12430692183866929,0.12578813218262308
Beauty,sasrec,44,0.08,11181,11182,895,9,True,0.08629940976569486,9.0,0.12430692183866929,0.12578813218262308
Beauty,sasrec,44,0.1,11181,11182,1119,13,True,0.10203899123591487,13.0,0.12430692183866929,0.12578813218262308
Beauty,sasrec,44,0.12,11181,11182,1342,18,True,0.11840457878733679,18.0,0.12430692183866929,0.12578813218262308
Beauty,marius,42,0.04,11181,11182,448,4,True,0.04480414952602397,3.993024503666607,0.12269719191557861,0.1248490810714126
Beauty,marius,42,0.06,11181,11182,671,6,True,0.05768198891074942,5.988284743337506,0.12269719191557861,0.1248490810714126
Beauty,marius,42,0.08,11181,11182,895,9,True,0.07690931854766589,8.979699517081023,0.12269719191557861,0.1248490810714126
Beauty,marius,42,0.1,11181,11182,1119,13,True,0.09729923090681453,12.963691647290288,0.12269719191557861,0.1248490810714126
Beauty,marius,42,0.12,11181,11182,1342,18,True,0.11706313718476122,17.940082275084958,0.12269719191557861,0.1248490810714126
Beauty,marius,43,0.04,11181,11182,448,4,True,0.04435700232516544,3.993561080307637,0.11759971382579144,0.12073514286991906
Beauty,marius,43,0.06,11181,11182,671,6,True,0.05669826506886067,5.987837596136648,0.11759971382579144,0.12073514286991906
Beauty,marius,43,0.08,11181,11182,895,10,True,0.07851904847075657,9.97531747451261,0.11759971382579144,0.12073514286991906
Beauty,marius,43,0.1,11181,11182,1119,14,True,0.09712037202647111,13.959309604721874,0.11759971382579144,0.12073514286991906
Beauty,marius,43,0.12,11181,11182,1342,19,True,0.11438025397961009,18.935700232516545,0.11759971382579144,0.12073514286991906
Beauty,marius,44,0.04,11181,11182,448,4,True,0.0433732784832767,3.9934716508674657,0.12019316759077088,0.12265796181192148
Beauty,marius,44,0.06,11181,11182,671,6,True,0.056966553389375785,5.988016455016991,0.12019316759077088,0.12265796181192148
Beauty,marius,44,0.08,11181,11182,895,10,True,0.08021820783401896,9.974780897871579,0.12019316759077088,0.12265796181192148
Beauty,marius,44,0.1,11181,11182,1119,14,True,0.0989089608299052,13.957878733679127,0.12019316759077088,0.12265796181192148
Beauty,marius,44,0.12,11181,11182,1342,19,True,0.11715256662493292,18.93498479699517,0.12019316759077088,0.12265796181192148
