category,model,seed,depth,target_coverage,bucket,n_cal,n_eval,m,k_star,achievable,empirical_coverage,bucket_recall_eval
Beauty,sasrec,42,100,0.08,hist<=5,5622,5761,450,10,True,0.08140947752126367,0.212636695018226
Beauty,sasrec,42,100,0.08,hist6-15,4677,4583,375,8,True,0.07789657429631246,0.24787257255073097
Beauty,sasrec,42,100,0.08,hist>=16,882,838,71,3,True,0.10023866348448687,0.42601431980906923
Beauty,sasrec,42,100,0.12,hist<=5,5622,5761,675,23,True,0.11820864433258114,0.212636695018226
Beauty,sasrec,42,100,0.12,hist6-15,4677,4583,562,18,True,0.11455378572987127,0.24787257255073097
Beauty,sasrec,42,100,0.12,hist>=16,882,838,106,5,True,0.12410501193317422,0.42601431980906923
Beauty,sasrec,43,100,0.08,hist<=5,5622,5761,450,10,True,0.08019441069258809,0.21419892379795175
Beauty,sasrec,43,100,0.08,hist6-15,4677,4583,375,9,True,0.08422430722234345,0.24874536329914904
Beauty,sasrec,43,100,0.08,hist>=16,882,838,71,3,True,0.0883054892601432,0.41646778042959426
Beauty,sasrec,43,100,0.12,hist<=5,5622,5761,675,23,True,0.1195972921367818,0.21419892379795175
Beauty,sasrec,43,100,0.12,hist6-15,4677,4583,562,19,True,0.11826314641064804,0.24874536329914904
Beauty,sasrec,43,100,0.12,hist>=16,882,838,106,6,True,0.13365155131264916,0.41646778042959426
Beauty,sasrec,44,100,0.08,hist<=5,5622,5761,450,10,True,0.08279812532546432,0.21853844818607882
Beauty,sasrec,44,100,0.08,hist6-15,4677,4583,375,9,True,0.08160593497708925,0.25310931704123935
Beauty,sasrec,44,100,0.08,hist>=16,882,838,71,3,True,0.09069212410501193,0.42720763723150357
Beauty,sasrec,44,100,0.12,hist<=5,5622,5761,675,23,True,0.1187293872591564,0.21853844818607882
Beauty,sasrec,44,100,0.12,hist6-15,4677,4583,562,19,True,0.1176085533493345,0.25310931704123935
Beauty,sasrec,44,100,0.12,hist>=16,882,838,106,6,True,0.13842482100238662,0.42720763723150357
Beauty,marius,42,100,0.08,hist<=5,5622,5761,450,11,True,0.07880576288838743,0.23294566915466064
Beauty,marius,42,100,0.08,hist6-15,4677,4583,375,10,True,0.08269692341261183,0.26707396901592845
Beauty,marius,42,100,0.08,hist>=16,882,838,71,3,True,0.07517899761336516,0.4116945107398568
Beauty,marius,42,100,0.12,hist<=5,5622,5761,675,22,True,0.11265405311577852,0.23294566915466064
Beauty,marius,42,100,0.12,hist6-15,4677,4583,562,19,True,0.12131791403011129,0.26707396901592845
Beauty,marius,42,100,0.12,hist>=16,882,838,106,7,True,0.12052505966587113,0.4116945107398568
Beauty,marius,43,100,0.08,hist<=5,5622,5761,450,12,True,0.07672279118208644,0.229474049644159
Beauty,marius,43,100,0.08,hist6-15,4677,4583,375,10,True,0.07876936504473053,0.26074623608989744
Beauty,marius,43,100,0.08,hist>=16,882,838,71,3,True,0.07398568019093078,0.4200477326968974
Beauty,marius,43,100,0.12,hist<=5,5622,5761,675,23,True,0.11508418677312966,0.229474049644159
Beauty,marius,43,100,0.12,hist6-15,4677,4583,562,19,True,0.11302640192013964,0.26074623608989744
Beauty,marius,43,100,0.12,hist>=16,882,838,106,6,True,0.10381861575178998,0.4200477326968974
Beauty,marius,44,100,0.08,hist<=5,5622,5761,450,11,True,0.0751605624023607,0.22791182086443326
Beauty,marius,44,100,0.08,hist6-15,4677,4583,375,10,True,0.0822605280384028,0.2640192013964652
Beauty,marius,44,100,0.08,hist>=16,882,838,71,3,True,0.07398568019093078,0.41408114558472553
Beauty,marius,44,100,0.12,hist<=5,5622,5761,675,23,True,0.11751432043048082,0.22791182086443326
Beauty,marius,44,100,0.12,hist6-15,4677,4583,562,20,True,0.11979053022037967,0.2640192013964652
Beauty,marius,44,100,0.12,hist>=16,882,838,106,7,True,0.11336515513126491,0.41408114558472553
