category,model,seed,k,n_catalog,n_users,observed_reached,observed_coverage,f1_singletons,f2_doubletons,chao1,chao1_coverage,est_structural_unreachable,est_structural_unreachable_frac,turing_unseen_mass
Beauty,marius,42,10,12101,22363,8252,0.6819271134616974,1168,793,9110.347607052896,0.7528590700812243,2990.652392947104,0.24714092991877565,0.005233983249461142
Beauty,marius,42,20,12101,22363,9838,0.8129906619287662,809,626,10359.269537480064,0.8560672289463733,1741.7304625199358,0.14393277105362662,0.001814873889819881
Beauty,marius,43,10,12101,22363,8669,0.71638707544831,1139,821,9457.43187347932,0.7815413497627733,2643.5681265206804,0.21845865023722671,0.005105082223646526
Beauty,marius,43,20,12101,22363,10159,0.8395173952565904,781,603,10663.2880794702,0.8811906519684488,1437.7119205298004,0.11880934803155115,0.0017521425045990936
Beauty,marius,44,10,12101,22363,8756,0.7235765639203372,1198,808,9642.283065512978,0.796817045327905,2458.7169344870217,0.20318295467209502,0.005369789332138055
Beauty,marius,44,20,12101,22363,10158,0.8394347574580613,796,543,10739.636029411764,0.8874998784738256,1361.363970588236,0.11250012152617436,0.001786058868141287
Beauty,sasrec,42,10,12101,22363,9802,0.8100157011817205,1474,1152,10743.544666088465,0.887822879604038,1357.4553339115355,0.11217712039596195,0.006591244466305952
Beauty,sasrec,42,20,12101,22363,10842,0.8959590116519296,926,841,11350.640142517816,0.9379919132731027,750.3598574821845,0.06200808672689732,0.0020703841166212046
Beauty,sasrec,43,10,12101,22363,9867,0.8153871580861086,1389,1172,10688.795396419437,0.8832985204875164,1412.2046035805633,0.11670147951248354,0.006211152349863614
Beauty,sasrec,43,20,12101,22363,10890,0.8999256259813239,954,757,11489.711081794196,0.9494844295342696,611.2889182058043,0.05051557046573046,0.002132987524035237
Beauty,sasrec,44,10,12101,22363,9845,0.8135691265184696,1428,1149,10730.980869565217,0.8867846351181901,1370.0191304347827,0.11321536488180999,0.006385547556231275
Beauty,sasrec,44,20,12101,22363,10832,0.8951326336666391,883,805,11315.130272952854,0.9350574558262007,785.8697270471457,0.06494254417379933,0.001974243169521084
