category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Beauty,marius,42,10,0.05,1118,3605,0.2979092636972151
Beauty,marius,42,10,0.1,2236,4775,0.3945954879762003
Beauty,marius,42,10,0.2,4473,5943,0.49111643665812743
Beauty,marius,42,10,0.4,8945,7040,0.5817701016444922
Beauty,marius,42,10,0.6,13418,7614,0.6292041980001652
Beauty,marius,42,10,0.8,17890,7972,0.6587885298735642
Beauty,marius,42,10,1.0,22363,8252,0.6819271134616974
Beauty,marius,42,20,0.05,1118,5364,0.4432691513098091
Beauty,marius,42,20,0.1,2236,6695,0.5532600611519709
Beauty,marius,42,20,0.2,4473,7943,0.6563920337162218
Beauty,marius,42,20,0.4,8945,8938,0.7386166432526238
Beauty,marius,42,20,0.6,13418,9359,0.7734071564333526
Beauty,marius,42,20,0.8,17890,9644,0.796958929014131
Beauty,marius,42,20,1.0,22363,9838,0.8129906619287662
Beauty,marius,43,10,0.05,1118,3761,0.31080076026774645
Beauty,marius,43,10,0.1,2236,5057,0.4178993471613916
Beauty,marius,43,10,0.2,4473,6347,0.5245021072638625
Beauty,marius,43,10,0.4,8945,7500,0.6197834889678538
Beauty,marius,43,10,0.6,13418,8075,0.6673002231220561
Beauty,marius,43,10,0.8,17890,8428,0.6964713660028097
Beauty,marius,43,10,1.0,22363,8669,0.71638707544831
Beauty,marius,43,20,0.05,1118,5571,0.4603751756053219
Beauty,marius,43,20,0.1,2236,7036,0.581439550450376
Beauty,marius,43,20,0.2,4473,8287,0.684819436410214
Beauty,marius,43,20,0.4,8945,9278,0.7667134947524998
Beauty,marius,43,20,0.6,13418,9722,0.8034046772993968
Beauty,marius,43,20,0.8,17890,9978,0.8245599537228329
Beauty,marius,43,20,1.0,22363,10159,0.8395173952565904
Beauty,marius,44,10,0.05,1118,3674,0.30361127179571934
Beauty,marius,44,10,0.1,2236,4892,0.4042641104040988
Beauty,marius,44,10,0.2,4473,6245,0.5160730518138997
Beauty,marius,44,10,0.4,8945,7457,0.6162300636311049
Beauty,marius,44,10,0.6,13418,8074,0.6672175853235269
Beauty,marius,44,10,0.8,17890,8460,0.6991157755557392
Beauty,marius,44,10,1.0,22363,8756,0.7235765639203372
Beauty,marius,44,20,0.05,1118,5628,0.4650855301214776
Beauty,marius,44,20,0.1,2236,7066,0.5839186844062474
Beauty,marius,44,20,0.2,4473,8347,0.6897777043219568
Beauty,marius,44,20,0.4,8945,9273,0.7663003057598545
Beauty,marius,44,20,0.6,13418,9676,0.7996033385670606
Beauty,marius,44,20,0.8,17890,9972,0.8240641269316585
Beauty,marius,44,20,1.0,22363,10158,0.8394347574580613
Beauty,sasrec,42,10,0.05,1118,3428,0.2832823733575738
Beauty,sasrec,42,10,0.1,2236,4943,0.40847863812908025
Beauty,sasrec,42,10,0.2,4473,6584,0.5440872655152467
Beauty,sasrec,42,10,0.4,8945,8217,0.6790347905131807
Beauty,sasrec,42,10,0.6,13418,9025,0.7458061317246508
Beauty,sasrec,42,10,0.8,17890,9488,0.7840674324435997
Beauty,sasrec,42,10,1.0,22363,9802,0.8100157011817205
Beauty,sasrec,42,20,0.05,1118,5152,0.4257499380216511
Beauty,sasrec,42,20,0.1,2236,6802,0.562102305594579
Beauty,sasrec,42,20,0.2,4473,8339,0.6891166019337245
Beauty,sasrec,42,20,0.4,8945,9659,0.7981984959920668
Beauty,sasrec,42,20,0.6,13418,10279,0.849433931080076
Beauty,sasrec,42,20,0.8,17890,10615,0.8772002313858359
Beauty,sasrec,42,20,1.0,22363,10842,0.8959590116519296
Beauty,sasrec,43,10,0.05,1118,3464,0.28625733410461945
Beauty,sasrec,43,10,0.1,2236,4889,0.4040161970085117
Beauty,sasrec,43,10,0.2,4473,6577,0.5435088009255433
Beauty,sasrec,43,10,0.4,8945,8246,0.6814312866705231
Beauty,sasrec,43,10,0.6,13418,9064,0.7490290058672837
Beauty,sasrec,43,10,0.8,17890,9524,0.7870423931906454
Beauty,sasrec,43,10,1.0,22363,9867,0.8153871580861086
Beauty,sasrec,43,20,0.05,1118,5042,0.4166597801834559
Beauty,sasrec,43,20,0.1,2236,6756,0.5583009668622428
Beauty,sasrec,43,20,0.2,4473,8368,0.6915130980910669
Beauty,sasrec,43,20,0.4,8945,9754,0.8060490868523262
Beauty,sasrec,43,20,0.6,13418,10353,0.8555491281712255
Beauty,sasrec,43,20,0.8,17890,10684,0.8829022394843401
Beauty,sasrec,43,20,1.0,22363,10890,0.8999256259813239
Beauty,sasrec,44,10,0.05,1118,3536,0.29220725559871086
Beauty,sasrec,44,10,0.1,2236,4961,0.4099661185026031
Beauty,sasrec,44,10,0.2,4473,6576,0.5434261631270143
Beauty,sasrec,44,10,0.4,8945,8211,0.6785389637220064
Beauty,sasrec,44,10,0.6,13418,9021,0.7454755805305346
Beauty,sasrec,44,10,0.8,17890,9524,0.7870423931906454
Beauty,sasrec,44,10,1.0,22363,9845,0.8135691265184696
Beauty,sasrec,44,20,0.05,1118,5121,0.42318816626725064
Beauty,sasrec,44,20,0.1,2236,6807,0.5625154945872242
Beauty,sasrec,44,20,0.2,4473,8391,0.6934137674572349
Beauty,sasrec,44,20,0.4,8945,9660,0.7982811337905958
Beauty,sasrec,44,20,0.6,13418,10249,0.8469547971242046
Beauty,sasrec,44,20,0.8,17890,10614,0.8771175935873068
Beauty,sasrec,44,20,1.0,22363,10832,0.8951326336666391
