category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Sports_and_Outdoors,marius,42,10,0.05,1780,3472,0.18913765865882226
Sports_and_Outdoors,marius,42,10,0.1,3560,4367,0.23789290189028708
Sports_and_Outdoors,marius,42,10,0.2,7120,5298,0.288609249877431
Sports_and_Outdoors,marius,42,10,0.4,14239,6200,0.33774581903361117
Sports_and_Outdoors,marius,42,10,0.6,21359,6755,0.3679795173503296
Sports_and_Outdoors,marius,42,10,0.8,28478,7121,0.3879174156997331
Sports_and_Outdoors,marius,42,10,1.0,35598,7422,0.4043144304624939
Sports_and_Outdoors,marius,42,20,0.05,1780,5315,0.28953532712316826
Sports_and_Outdoors,marius,42,20,0.1,3560,6541,0.3563218390804598
Sports_and_Outdoors,marius,42,20,0.2,7120,7724,0.4207659203573569
Sports_and_Outdoors,marius,42,20,0.4,14239,8800,0.47938116249931906
Sports_and_Outdoors,marius,42,20,0.6,21359,9419,0.513101269270578
Sports_and_Outdoors,marius,42,20,0.8,28478,9817,0.5347823718472517
Sports_and_Outdoors,marius,42,20,1.0,35598,10108,0.5506346352889906
Sports_and_Outdoors,marius,43,10,0.05,1780,3324,0.18107533910769733
Sports_and_Outdoors,marius,43,10,0.1,3560,4162,0.22672549980933704
Sports_and_Outdoors,marius,43,10,0.2,7120,5026,0.2737920139456338
Sports_and_Outdoors,marius,43,10,0.4,14239,5923,0.322656207441303
Sports_and_Outdoors,marius,43,10,0.6,21359,6403,0.3488042708503568
Sports_and_Outdoors,marius,43,10,0.8,28478,6746,0.3674892411614098
Sports_and_Outdoors,marius,43,10,1.0,35598,7022,0.38252437762161573
Sports_and_Outdoors,marius,43,20,0.05,1780,5078,0.276624720814948
Sports_and_Outdoors,marius,43,20,0.1,3560,6241,0.33997929944980115
Sports_and_Outdoors,marius,43,20,0.2,7120,7400,0.40311597755624556
Sports_and_Outdoors,marius,43,20,0.4,14239,8438,0.45966116467832435
Sports_and_Outdoors,marius,43,20,0.6,21359,8984,0.48940458680612303
Sports_and_Outdoors,marius,43,20,0.8,28478,9381,0.5110312142506945
Sports_and_Outdoors,marius,43,20,1.0,35598,9651,0.5257394999182873
Sports_and_Outdoors,marius,44,10,0.05,1780,3423,0.1864683771858147
Sports_and_Outdoors,marius,44,10,0.1,3560,4308,0.23467886909625757
Sports_and_Outdoors,marius,44,10,0.2,7120,5178,0.2820722340251675
Sports_and_Outdoors,marius,44,10,0.4,14239,6035,0.3287574222367489
Sports_and_Outdoors,marius,44,10,0.6,21359,6538,0.3561584136841532
Sports_and_Outdoors,marius,44,10,0.8,28478,6896,0.37566051097673914
Sports_and_Outdoors,marius,44,10,1.0,35598,7165,0.39031432151222967
Sports_and_Outdoors,marius,44,20,0.05,1780,5330,0.29035245410470123
Sports_and_Outdoors,marius,44,20,0.1,3560,6447,0.3512011766628534
Sports_and_Outdoors,marius,44,20,0.2,7120,7514,0.40932614261589584
Sports_and_Outdoors,marius,44,20,0.4,14239,8643,0.47082856675927437
Sports_and_Outdoors,marius,44,20,0.6,21359,9192,0.5007354142833796
Sports_and_Outdoors,marius,44,20,0.8,28478,9590,0.5224165168600534
Sports_and_Outdoors,marius,44,20,1.0,35598,9895,0.539031432151223
Sports_and_Outdoors,sasrec,42,10,0.05,1780,4514,0.2459007463093098
Sports_and_Outdoors,sasrec,42,10,0.1,3560,6648,0.36215067821539465
Sports_and_Outdoors,sasrec,42,10,0.2,7120,8962,0.4882061338998747
Sports_and_Outdoors,sasrec,42,10,0.4,14239,11412,0.6216702075502533
Sports_and_Outdoors,sasrec,42,10,0.6,21359,12729,0.6934139565288446
Sports_and_Outdoors,sasrec,42,10,0.8,28478,13545,0.737865664324236
Sports_and_Outdoors,sasrec,42,10,1.0,35598,14141,0.7703328430571444
Sports_and_Outdoors,sasrec,42,20,0.05,1780,6752,0.367816091954023
Sports_and_Outdoors,sasrec,42,20,0.1,3560,9188,0.5005175137549709
Sports_and_Outdoors,sasrec,42,20,0.2,7120,11595,0.6316391567249551
Sports_and_Outdoors,sasrec,42,20,0.4,14239,13779,0.7506128452361497
Sports_and_Outdoors,sasrec,42,20,0.6,21359,14843,0.8085743857928855
Sports_and_Outdoors,sasrec,42,20,0.8,28478,15464,0.8424034428283489
Sports_and_Outdoors,sasrec,42,20,1.0,35598,15892,0.8657187993680885
Sports_and_Outdoors,sasrec,43,10,0.05,1780,4216,0.22966715694285558
Sports_and_Outdoors,sasrec,43,10,0.1,3560,5990,0.32630604129215013
Sports_and_Outdoors,sasrec,43,10,0.2,7120,8077,0.4399956419894318
Sports_and_Outdoors,sasrec,43,10,0.4,14239,10296,0.5608759601242033
Sports_and_Outdoors,sasrec,43,10,0.6,21359,11563,0.6298959524976848
Sports_and_Outdoors,sasrec,43,10,0.8,28478,12340,0.6722231301410906
Sports_and_Outdoors,sasrec,43,10,1.0,35598,12956,0.705779811516043
Sports_and_Outdoors,sasrec,43,20,0.05,1780,5981,0.32581576510323035
Sports_and_Outdoors,sasrec,43,20,0.1,3560,8122,0.4424470229340306
Sports_and_Outdoors,sasrec,43,20,0.2,7120,10472,0.5704635833741897
Sports_and_Outdoors,sasrec,43,20,0.4,14239,12607,0.6867679904123768
Sports_and_Outdoors,sasrec,43,20,0.6,21359,13678,0.7451108568938279
Sports_and_Outdoors,sasrec,43,20,0.8,28478,14343,0.7813368197417879
Sports_and_Outdoors,sasrec,43,20,1.0,35598,14848,0.8088467614533965
Sports_and_Outdoors,sasrec,44,10,0.05,1780,4442,0.24197853679795173
Sports_and_Outdoors,sasrec,44,10,0.1,3560,6344,0.34559023805632727
Sports_and_Outdoors,sasrec,44,10,0.2,7120,8567,0.46668845671950754
Sports_and_Outdoors,sasrec,44,10,0.4,14239,10876,0.5924715367434766
Sports_and_Outdoors,sasrec,44,10,0.6,21359,12134,0.6610012529280384
Sports_and_Outdoors,sasrec,44,10,0.8,28478,12966,0.7063245628370649
Sports_and_Outdoors,sasrec,44,10,1.0,35598,13502,0.7355232336438415
Sports_and_Outdoors,sasrec,44,20,0.05,1780,6414,0.34940349730348097
Sports_and_Outdoors,sasrec,44,20,0.1,3560,8662,0.4718635942692161
Sports_and_Outdoors,sasrec,44,20,0.2,7120,11071,0.6030941875034047
Sports_and_Outdoors,sasrec,44,20,0.4,14239,13154,0.7165658876722776
Sports_and_Outdoors,sasrec,44,20,0.6,21359,14233,0.7753445552105463
Sports_and_Outdoors,sasrec,44,20,0.8,28478,14846,0.8087378111891921
Sports_and_Outdoors,sasrec,44,20,1.0,35598,15264,0.8315084164079097
