category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Arts_Crafts_and_Sewing,marius,50,10,0.05,9864,16063,0.17856110629404834
Arts_Crafts_and_Sewing,marius,50,10,0.1,19729,20548,0.22841770604059672
Arts_Crafts_and_Sewing,marius,50,10,0.2,39457,25295,0.28118677605104603
Arts_Crafts_and_Sewing,marius,50,10,0.4,78914,30096,0.334556126192223
Arts_Crafts_and_Sewing,marius,50,10,0.6,118372,32971,0.366515485004113
Arts_Crafts_and_Sewing,marius,50,10,0.8,157829,34927,0.3882589652949154
Arts_Crafts_and_Sewing,marius,50,10,1.0,197286,36404,0.40467773850018895
Arts_Crafts_and_Sewing,marius,50,20,0.05,9864,23932,0.2660352608995309
Arts_Crafts_and_Sewing,marius,50,20,0.1,19729,29636,0.3294426287823206
Arts_Crafts_and_Sewing,marius,50,20,0.2,39457,35383,0.39332799750994907
Arts_Crafts_and_Sewing,marius,50,20,0.4,78914,40662,0.4520109384379377
Arts_Crafts_and_Sewing,marius,50,20,0.6,118372,43662,0.48535983458947507
Arts_Crafts_and_Sewing,marius,50,20,0.8,157829,45715,0.5081815958558439
Arts_Crafts_and_Sewing,marius,50,20,1.0,197286,47284,0.5256230685430979
Arts_Crafts_and_Sewing,sasrec,50,10,0.05,9864,16330,0.18152915805153516
Arts_Crafts_and_Sewing,sasrec,50,10,0.1,19729,22986,0.25551924231307943
Arts_Crafts_and_Sewing,sasrec,50,10,0.2,39457,31131,0.3460614953645034
Arts_Crafts_and_Sewing,sasrec,50,10,0.4,78914,40312,0.448120233886925
Arts_Crafts_and_Sewing,sasrec,50,10,0.6,118372,45769,0.5087818759865715
Arts_Crafts_and_Sewing,sasrec,50,10,0.8,157829,49212,0.5470552924698192
Arts_Crafts_and_Sewing,sasrec,50,10,1.0,197286,51858,0.5764690188754752
Arts_Crafts_and_Sewing,sasrec,50,20,0.05,9864,22670,0.2520064919184508
Arts_Crafts_and_Sewing,sasrec,50,20,0.1,19729,30547,0.33956957691367085
Arts_Crafts_and_Sewing,sasrec,50,20,0.2,39457,39389,0.43785989017096866
Arts_Crafts_and_Sewing,sasrec,50,20,0.4,78914,48694,0.5412970497343205
Arts_Crafts_and_Sewing,sasrec,50,20,0.6,118372,53960,0.5998354787789858
Arts_Crafts_and_Sewing,sasrec,50,20,0.8,157829,57411,0.6381978256519709
Arts_Crafts_and_Sewing,sasrec,50,20,1.0,197286,59888,0.6657328975744237
