category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Sports_and_Outdoors,marius,42,10,0.05,1780,7776,0.423598627226671
Sports_and_Outdoors,marius,42,10,0.1,3560,10526,0.5734052405077082
Sports_and_Outdoors,marius,42,10,0.2,7120,12870,0.7010949501552541
Sports_and_Outdoors,marius,42,10,0.4,14239,14570,0.7937026747289863
Sports_and_Outdoors,marius,42,10,0.6,21359,15286,0.832706869314158
Sports_and_Outdoors,marius,42,10,0.8,28478,15686,0.8544969221550363
Sports_and_Outdoors,marius,42,10,1.0,35598,15963,0.8695865337473443
Sports_and_Outdoors,marius,42,20,0.05,1780,10987,0.5985182764068203
Sports_and_Outdoors,marius,42,20,0.1,3560,13465,0.7335076537560603
Sports_and_Outdoors,marius,42,20,0.2,7120,15183,0.827095930707632
Sports_and_Outdoors,marius,42,20,0.4,14239,16150,0.8797733834504549
Sports_and_Outdoors,marius,42,20,0.6,21359,16584,0.9034155907828076
Sports_and_Outdoors,marius,42,20,0.8,28478,16820,0.9162717219589257
Sports_and_Outdoors,marius,42,20,1.0,35598,16963,0.9240616658495396
Sports_and_Outdoors,marius,43,10,0.05,1780,7967,0.43400337745819034
Sports_and_Outdoors,marius,43,10,0.1,3560,10870,0.5921446859508634
Sports_and_Outdoors,marius,43,10,0.2,7120,13118,0.7146047829165986
Sports_and_Outdoors,marius,43,10,0.4,14239,14769,0.8045432260173231
Sports_and_Outdoors,marius,43,10,0.6,21359,15489,0.8437653211309037
Sports_and_Outdoors,marius,43,10,0.8,28478,15865,0.8642479708013292
Sports_and_Outdoors,marius,43,10,1.0,35598,16117,0.8779757040910824
Sports_and_Outdoors,marius,43,20,0.05,1780,11433,0.6228141853243994
Sports_and_Outdoors,marius,43,20,0.1,3560,13959,0.7604183690145448
Sports_and_Outdoors,marius,43,20,0.2,7120,15530,0.8459988015470937
Sports_and_Outdoors,marius,43,20,0.4,14239,16490,0.8982949283652013
Sports_and_Outdoors,marius,43,20,0.6,21359,16837,0.917197799204663
Sports_and_Outdoors,marius,43,20,0.8,28478,16982,0.9250966933594814
Sports_and_Outdoors,marius,43,20,1.0,35598,17108,0.931960560004358
