category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Beauty,marius,42,10,0.05,1118,3530,0.2917114288075366
Beauty,marius,42,10,0.1,2236,4624,0.3821171803983142
Beauty,marius,42,10,0.2,4473,5665,0.4681431286670523
Beauty,marius,42,10,0.4,8945,6633,0.54813651764317
Beauty,marius,42,10,0.6,13418,7108,0.5873894719444674
Beauty,marius,42,10,0.8,17890,7446,0.6153210478472854
Beauty,marius,42,10,1.0,22363,7682,0.6348235683001405
Beauty,marius,42,20,0.05,1118,5296,0.43764978100983387
Beauty,marius,42,20,0.1,2236,6506,0.537641517229981
Beauty,marius,42,20,0.2,4473,7594,0.6275514420295843
Beauty,marius,42,20,0.4,8945,8450,0.6982893975704487
Beauty,marius,42,20,0.6,13418,8905,0.7358895959011652
Beauty,marius,42,20,0.8,17890,9163,0.7572101479216594
Beauty,marius,42,20,1.0,22363,9340,0.7718370382613007
Beauty,marius,43,10,0.05,1118,3779,0.3122882406412693
Beauty,marius,43,10,0.1,2236,5003,0.41343690604082306
Beauty,marius,43,10,0.2,4473,6189,0.511445335096273
Beauty,marius,43,10,0.4,8945,7258,0.5997851417238245
Beauty,marius,43,10,0.6,13418,7806,0.6450706553177423
Beauty,marius,43,10,0.8,17890,8171,0.6752334517808446
Beauty,marius,43,10,1.0,22363,8410,0.6949838856292868
Beauty,marius,43,20,0.05,1118,5532,0.45715230146268904
Beauty,marius,43,20,0.1,2236,6853,0.5663168333195604
Beauty,marius,43,20,0.2,4473,8082,0.6678786877117594
Beauty,marius,43,20,0.4,8945,9054,0.7482026278819932
Beauty,marius,43,20,0.6,13418,9457,0.7815056606891992
Beauty,marius,43,20,0.8,17890,9746,0.8053879844640939
Beauty,marius,43,20,1.0,22363,9923,0.8200148748037352
