category,model,seed,k,user_fraction,n_users_sampled,distinct_reached,reached_coverage
Sports_and_Outdoors,marius,42,10,0.05,1780,3720,0.2026474914201667
Sports_and_Outdoors,marius,42,10,0.1,3560,4679,0.25488914310617206
Sports_and_Outdoors,marius,42,10,0.2,7120,5618,0.3060412921501335
Sports_and_Outdoors,marius,42,10,0.4,14239,6538,0.3561584136841532
Sports_and_Outdoors,marius,42,10,0.6,21359,7115,0.3875905649071199
Sports_and_Outdoors,marius,42,10,0.8,28478,7468,0.40682028653919483
Sports_and_Outdoors,marius,42,10,1.0,35598,7757,0.4225635997167293
Sports_and_Outdoors,marius,42,20,0.05,1780,5587,0.3043525630549654
Sports_and_Outdoors,marius,42,20,0.1,3560,6750,0.3677071416898186
Sports_and_Outdoors,marius,42,20,0.2,7120,8026,0.4372174102522199
Sports_and_Outdoors,marius,42,20,0.4,14239,9087,0.49501552541264915
Sports_and_Outdoors,marius,42,20,0.6,21359,9660,0.5262297761072071
Sports_and_Outdoors,marius,42,20,0.8,28478,10046,0.5472571770986545
Sports_and_Outdoors,marius,42,20,1.0,35598,10369,0.5648526447676636
Sports_and_Outdoors,marius,43,10,0.05,1780,3703,0.20172141417442938
Sports_and_Outdoors,marius,43,10,0.1,3560,4650,0.2533093642752084
Sports_and_Outdoors,marius,43,10,0.2,7120,5528,0.3011385302609359
Sports_and_Outdoors,marius,43,10,0.4,14239,6484,0.3532167565506346
Sports_and_Outdoors,marius,43,10,0.6,21359,6963,0.3793103448275862
Sports_and_Outdoors,marius,43,10,0.8,28478,7316,0.39854006645966117
Sports_and_Outdoors,marius,43,10,1.0,35598,7624,0.41531840714713736
Sports_and_Outdoors,marius,43,20,0.05,1780,5579,0.3039167619981478
Sports_and_Outdoors,marius,43,20,0.1,3560,6856,0.3734815056926513
Sports_and_Outdoors,marius,43,20,0.2,7120,7975,0.4344391785150079
Sports_and_Outdoors,marius,43,20,0.4,14239,9010,0.4908209402407801
Sports_and_Outdoors,marius,43,20,0.6,21359,9601,0.5230157433131776
Sports_and_Outdoors,marius,43,20,0.8,28478,9994,0.5444244702293403
Sports_and_Outdoors,marius,43,20,1.0,35598,10256,0.5586969548401155
