method,category,seed,step,metric,value,run_name,run_id
cosette,COSETTE_128d_256x4_f958,,0,train_loss,0.11536381251296436,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,0,lr,0.000109,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,1,train_loss,0.22616008163868692,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,1,lr,0.00011800000000000001,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,2,train_loss,0.08603763336251521,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,2,lr,0.000127,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,3,train_loss,0.021668073100348323,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,3,lr,0.000136,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,4,train_loss,0.009628360694938007,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,4,lr,0.000145,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,5,train_loss,0.0076883942713083225,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,5,lr,0.000154,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,6,train_loss,0.006945339861143938,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,6,lr,0.000163,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,7,train_loss,0.006644603726721702,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,7,lr,0.000172,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,8,train_loss,0.0066825305432852,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,8,lr,0.000181,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,9,train_loss,0.0065398373234289145,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,9,lr,0.00019,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,10,train_loss,0.006450256338107518,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,10,lr,0.000199,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,11,train_loss,0.006631767537830205,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,11,lr,0.00020800000000000001,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,12,train_loss,0.006417996416018271,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,12,lr,0.00021700000000000002,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,13,train_loss,0.006260432072797387,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,13,lr,0.00022600000000000002,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,14,train_loss,0.006298266950694997,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,14,lr,0.00023500000000000002,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,15,train_loss,0.006229970422198718,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,15,lr,0.00024400000000000002,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,16,train_loss,0.006265432980639495,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,16,lr,0.000253,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,17,train_loss,0.006161508824804734,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,17,lr,0.000262,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,18,train_loss,0.0062618762276124675,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,18,lr,0.00027100000000000003,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,19,train_loss,0.006117169338481864,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,19,lr,0.00028000000000000003,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,20,train_loss,0.006195121963947328,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,20,lr,0.00028900000000000003,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,21,train_loss,0.006171971495295393,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,21,lr,0.00029800000000000003,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,22,train_loss,0.006130929308376097,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,22,lr,0.00030700000000000004,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,23,train_loss,0.006223708000462286,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,23,lr,0.000316,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,24,train_loss,0.0061355096063223395,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,24,lr,0.000325,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,25,train_loss,0.006198865254463134,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,25,lr,0.000334,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,26,train_loss,0.006175320365348424,COSETTE_128d_256x4_f958,anobrogk
cosette,COSETTE_128d_256x4_f958,,26,lr,0.000343,COSETTE_128d_256x4_f958,anobrogk
