method,category,seed,step,metric,value,run_name,run_id
marius,Sports_and_Outdoors,42,400,HR@5,0.034917693585157394,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,400,NDCG@5,0.022102588787674904,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,400,HR@10,0.05795269459486008,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,400,NDCG@10,0.0295292679220438,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,801,HR@5,0.038063935935497284,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,801,NDCG@5,0.024831701070070267,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,801,HR@10,0.06180122494697571,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,801,NDCG@10,0.03247973322868347,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1202,HR@5,0.04177200794219971,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1202,NDCG@5,0.026932667940855026,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1202,HR@10,0.06480701267719269,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1202,NDCG@10,0.034321002662181854,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1603,HR@5,0.0417158268392086,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1603,NDCG@5,0.027138078585267067,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1603,HR@10,0.06570594012737274,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1603,NDCG@10,0.034844864159822464,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2004,HR@5,0.04205292463302612,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2004,NDCG@5,0.027607640251517296,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2004,HR@10,0.06643631309270859,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2004,NDCG@10,0.03548482432961464,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2405,HR@5,0.0417158268392086,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2405,NDCG@5,0.027454497292637825,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2405,HR@10,0.06559357047080994,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2405,NDCG@10,0.03512917086482048,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2806,HR@5,0.04269902780652046,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2806,NDCG@5,0.027755143120884895,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2806,HR@10,0.06593067198991776,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,2806,NDCG@10,0.035233594477176666,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1,train_loss,52.9852294921875,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,500,train_loss,2.338515520095825,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,1500,train_loss,2.0140702724456787,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,3000,train_loss,2.045409917831421,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
marius,Sports_and_Outdoors,42,3206,train_loss,1.998245120048523,MARIUS_small_Sports_and_Outdoors_seed42_2026-06-06_13-16-54,mvojemvv
