method,category,seed,step,metric,value,run_name,run_id
sasrec,Beauty,43,400,HR@5,0.07422975450754166,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,400,NDCG@5,0.049535006284713745,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,400,HR@10,0.1075437068939209,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,400,NDCG@10,0.06029064953327179,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,801,HR@5,0.07422975450754166,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,801,NDCG@5,0.04956088587641716,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,801,HR@10,0.10696239024400711,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,801,NDCG@10,0.06007588654756546,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1202,HR@5,0.0736931562423706,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1202,NDCG@5,0.049956195056438446,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1202,HR@10,0.10606805980205536,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1202,NDCG@10,0.06039446219801903,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1603,HR@5,0.07351429015398026,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1603,NDCG@5,0.04968070611357689,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1603,HR@10,0.10535258799791336,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1603,NDCG@10,0.05997565761208534,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2004,HR@5,0.07270938903093338,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2004,NDCG@5,0.04960772395133972,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2004,HR@10,0.10651522874832153,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2004,NDCG@10,0.060507699847221375,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2405,HR@5,0.07257523387670517,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2405,NDCG@5,0.0494881235063076,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2405,HR@10,0.10517372190952301,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2405,NDCG@10,0.059979721903800964,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2806,HR@5,0.07270938903093338,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2806,NDCG@5,0.0500078946352005,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2806,HR@10,0.10548674315214157,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,2806,NDCG@10,0.060566432774066925,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1,train_loss,11.435961723327637,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,500,train_loss,0.7260281443595886,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,1500,train_loss,0.7306271195411682,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,3000,train_loss,0.6911283135414124,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
sasrec,Beauty,43,3200,train_loss,0.7351881265640259,SASRec_Beauty_seed43_2026-06-05_14-39-01,8rqljnkf
